State,Year,County,0BR,1BR,2BR,3BR,4BR
Alaska,2009,Denali Borough,654,807,1008,1415,1594
Alaska,2009,Dillingham Census,Area,777,884,1120,1384
Alaska,2009,Fairbanks North,Star,Borough,Metro,622,748
Alaska,2009,Haines Borough,654,807,1008,1415,1594
Alaska,2009,Juneau City,and,Borough,793,971,1222
Alaska,2009,Kenai Peninsula,Borough,586,670,815,1117
Alaska,2009,Ketchikan Gateway,Borough,699,892,1072,1562
Alaska,2009,Kodiak Island,Borough,749,877,1154,1658
Alaska,2009,Lake and,Peninsula,Borough,777,884,1120
Alaska,2009,Matanuska-Susitna Borough,Metro,629,733,935,1330
Alaska,2009,Nome Census,Area,779,1001,1149,1387
Alaska,2009,North Slope,Borough,802,938,1232,1473
Alaska,2009,Northwest Arctic,Borough,777,884,1120,1384
Alaska,2009,Sitka City,and,Borough,744,858,1024
Alaska,2009,Southeast Fairbanks,Census,Area,654,807,1008
Alaska,2009,Valdez-Cordova Census,Area,654,807,1008,1415
Alaska,2009,Wade Hampton,Census,Area,777,884,1120
Alaska,2009,Yakutat City,and,Borough,777,884,1120
Alaska,2009,Yukon-Koyukuk Census,Area,777,884,1120,1384
Alaska,2010,Aleutians East,Borough,815,926,1174,1451
Alaska,2010,Aleutians West,Census,Area,815,926,1174
Alaska,2010,Anchorage Municipality,Metro,723,822,1031,1485
Alaska,2010,Bethel Census,Area,933,1168,1418,1696
Alaska,2010,Bristol Bay,Borough,815,926,1174,1451
Alaska,2010,Denali Borough,686,847,1057,1484,1671
Alaska,2010,Dillingham Census,Area,815,926,1174,1451
Alaska,2010,Fairbanks North,Star,Borough,Metro,653,785
Alaska,2010,Haines Borough,686,847,1057,1484,1671
Alaska,2010,Juneau City,and,Borough,831,1018,1281
Alaska,2010,Kenai Peninsula,Borough,615,703,855,1171
Alaska,2010,Ketchikan Gateway,Borough,733,935,1124,1638
Alaska,2010,Kodiak Island,Borough,785,920,1210,1739
Alaska,2010,Lake and,Peninsula,Borough,815,926,1174
Alaska,2010,Matanuska-Susitna Borough,Metro,660,769,981,1395
Alaska,2010,Nome Census,Area,817,1050,1205,1454
Alaska,2010,North Slope,Borough,841,983,1292,1545
Alaska,2010,Northwest Arctic,Borough,815,926,1174,1451
Alaska,2010,Sitka City,and,Borough,780,899,1073
Alaska,2010,Southeast Fairbanks,Census,Area,686,847,1057
Alaska,2010,Valdez-Cordova Census,Area,686,847,1057,1484
Alaska,2010,Wade Hampton,Census,Area,815,926,1174
Alaska,2010,Yakutat City,and,Borough,815,926,1174
Alaska,2010,Yukon-Koyukuk Census,Area,815,926,1174,1451
Alaska,2011,Aleutians East,Borough,793,902,1143,1413
Alaska,2011,Aleutians West,Census,Area,793,902,1143
Alaska,2011,Anchorage Municipality,Metro,726,826,1036,1492
Alaska,2011,Bethel Census,Area,909,1138,1381,1652
Alaska,2011,Bristol Bay,Borough,793,902,1143,1413
Alaska,2011,Denali Borough,668,824,1029,1445,1627
Alaska,2011,Dillingham Census,Area,793,902,1143,1413
Alaska,2011,Fairbanks North,Star,Borough,Metro,635,764
Alaska,2011,Haines Borough,668,824,1029,1445,1627
Alaska,2011,Hoonah-Angoon Census,Area,793,902,1143,1413
Alaska,2011,Juneau City,and,Borough,809,991,1247
Alaska,2011,Kenai Peninsula,Borough,598,684,832,1140
Alaska,2011,Ketchikan Gateway,Borough,713,910,1094,1594
Alaska,2011,Kodiak Island,Borough,765,895,1178,1693
Alaska,2011,Lake and,Peninsula,Borough,793,902,1143
Alaska,2011,Matanuska-Susitna Borough,Metro,663,772,985,1401
Alaska,2011,Nome Census,Area,795,1022,1173,1416
Alaska,2011,North Slope,Borough,818,957,1257,1503
Alaska,2011,Northwest Arctic,Borough,793,902,1143,1413
Alaska,2011,Petersburg Census,Area,793,902,1143,1413
Alaska,2011,Prince of,Wales-Hyder,Census,Area,793,902
Alaska,2011,Sitka City,and,Borough,759,875,1044
Alaska,2011,Skagway Municipality,793,902,1143,1413,1456
Alaska,2011,Southeast Fairbanks,Census,Area,668,824,1029
Alaska,2011,Valdez-Cordova Census,Area,668,824,1029,1445
Alaska,2011,Wade Hampton,Census,Area,793,902,1143
Alaska,2011,Wrangell City,and,Borough,793,902,1143
Alaska,2011,Yakutat City,and,Borough,793,902,1143
Alaska,2011,Yukon-Koyukuk Census,Area,793,902,1143,1413
Alaska,2012,Aleutians East,Borough,405,461,584,722
Alaska,2012,Aleutians West,Census,Area,992,1127,1429
Alaska,2012,Anchorage Municipality,Metro,706,803,1007,1450
Alaska,2012,Bethel Census,Area,892,1117,1356,1622
Alaska,2012,Bristol Bay,Borough,672,765,969,1198
Alaska,2012,Denali Borough,683,843,1053,1478,1665
Alaska,2012,Dillingham Census,Area,661,752,953,1178
Alaska,2012,Fairbanks North,Star,Borough,Metro,653,785
Alaska,2012,Haines Borough,461,570,711,998,1124
Alaska,2012,Hoonah-Angoon Census,Area,644,732,928,1147
Alaska,2012,Juneau City,and,Borough,744,912,1147
Alaska,2012,Kenai Peninsula,Borough,560,640,779,1067
Alaska,2012,Ketchikan Gateway,Borough,586,748,899,1310
Alaska,2012,Kodiak Island,Borough,630,738,971,1395
Alaska,2012,Lake and,Peninsula,Borough,473,538,682
Alaska,2012,Matanuska-Susitna Borough,Metro,611,712,908,1291
Alaska,2012,Nome Census,Area,831,1068,1226,1480
Alaska,2012,North Slope,Borough,652,762,1001,1197
Alaska,2012,Northwest Arctic,Borough,712,810,1026,1268
Alaska,2012,Petersburg Census,Area,734,834,1057,1306
Alaska,2012,Prince of,Wales-Hyder,Census,Area,552,627
Alaska,2012,Sitka City,and,Borough,733,845,1008
Alaska,2012,Skagway Municipality,702,798,1011,1250,1288
Alaska,2012,Southeast Fairbanks,Census,Area,564,696,869
Alaska,2012,Valdez-Cordova Census,Area,503,621,775,1088
Alaska,2012,Wade Hampton,Census,Area,476,541,686
Alaska,2012,Wrangell City,and,Borough,520,591,749
Alaska,2012,Yakutat City,and,Borough,640,727,922
Alaska,2012,Yukon-Koyukuk Census,Area,487,554,702,868
Alaska,2013,Aleutians East,Borough,632,742,880,1096
Alaska,2013,Aleutians West,Census,Area,941,1169,1581
Alaska,2013,Anchorage Municipality,Metro,745,862,1104,1627
Alaska,2013,Bethel Census,Area,984,1126,1524,1898
Alaska,2013,Bristol Bay,Borough,776,799,1081,1454
Alaska,2013,Denali Borough,595,698,828,1220,1224
Alaska,2013,Dillingham Census,Area,780,916,1086,1353
Alaska,2013,Fairbanks North,Star,Borough,Metro,695,864
Alaska,2013,Haines Borough,644,727,897,1322,1326
Alaska,2013,Hoonah-Angoon Census,Area,599,616,834,1039
Alaska,2013,Juneau City,and,Borough,808,980,1326
Alaska,2013,Kenai Peninsula,Borough,672,712,892,1118
Alaska,2013,Ketchikan Gateway,Borough,656,847,1102,1624
Alaska,2013,Kodiak Island,Borough,739,871,1089,1605
Alaska,2013,Lake and,Peninsula,Borough,493,579,686
Alaska,2013,Matanuska-Susitna Borough,Metro,663,767,1015,1496
Alaska,2013,Nome Census,Area,879,1092,1478,1841
Alaska,2013,North Slope,Borough,760,958,1136,1415
Alaska,2013,Northwest Arctic,Borough,935,977,1158,1442
Alaska,2013,Petersburg Census,Area,666,686,928,1156
Alaska,2013,Prince of,Wales-Hyder,Census,Area,674,679
Alaska,2013,Sitka City,and,Borough,861,913,1235
Alaska,2013,Skagway Municipality,825,969,1149,1431,1659
Alaska,2013,Southeast Fairbanks,Census,Area,727,859,1139
Alaska,2013,Valdez-Cordova Census,Area,685,724,905,1274
Alaska,2013,Wade Hampton,Census,Area,614,721,855
Alaska,2013,Wrangell City,and,Borough,493,535,686
Alaska,2013,Yakutat City,and,Borough,519,564,723
Alaska,2013,Yukon-Koyukuk Census,Area,654,671,809,1008
Alaska,2014,Aleutians East,Borough,512,601,713,888
Alaska,2014,Aleutians West,Census,Area,854,1061,1436
Alaska,2014,Anchorage Municipality,Metro,774,895,1146,1689
Alaska,2014,Bethel Census,Area,765,875,1184,1475
Alaska,2014,Bristol Bay,Borough,725,747,1010,1358
Alaska,2014,Denali Borough,457,537,637,939,942
Alaska,2014,Dillingham Census,Area,741,870,1032,1285
Alaska,2014,Fairbanks North,Star,Borough,Metro,789,980
Alaska,2014,Haines Borough,587,663,818,1205,1209
Alaska,2014,Hoonah-Angoon Census,Area,523,539,729,908
Alaska,2014,Juneau City,and,Borough,742,900,1218
Alaska,2014,Kenai Peninsula,Borough,622,660,826,1035
Alaska,2014,Ketchikan Gateway,Borough,574,741,965,1422
Alaska,2014,Kodiak Island,Borough,694,818,1023,1507
Alaska,2014,Lake and,Peninsula,Borough,510,599,710
Alaska,2014,Matanuska-Susitna Borough,Metro,706,817,1081,1593
Alaska,2014,Nome Census,Area,809,1005,1360,1694
Alaska,2014,North Slope,Borough,627,789,936,1166
Alaska,2014,Northwest Arctic,Borough,922,962,1141,1421
Alaska,2014,Petersburg Census,Area,595,612,828,1031
Alaska,2014,Prince of,Wales-Hyder,Census,Area,532,536
Alaska,2014,Sitka City,and,Borough,790,838,1134
Alaska,2014,Skagway Municipality,804,944,1119,1394,1616
Alaska,2014,Southeast Fairbanks,Census,Area,591,699,926
Alaska,2014,Valdez-Cordova Census,Area,649,687,858,1208
Alaska,2014,Wade Hampton,Census,Area,521,612,726
Alaska,2014,Wrangell City,and,Borough,577,627,804
Alaska,2014,Yakutat City,and,Borough,513,558,715
Alaska,2014,Yukon-Koyukuk Census,Area,574,589,710,884
Alaska,2015,Aleutians East,Borough,599,703,834,1039
Alaska,2015,Aleutians West,Census,Area,876,1088,1472
Alaska,2015,Anchorage Municipality,Metro,809,936,1199,1767
Alaska,2015,Bethel Census,Area,832,953,1289,1605
Alaska,2015,Bristol Bay,Borough,778,800,1083,1457
Alaska,2015,Denali Borough,967,1135,1346,1983,1990
Alaska,2015,Dillingham Census,Area,758,891,1056,1315
Alaska,2015,Fairbanks North,Star,Borough,Metro,819,1018
Alaska,2015,Haines Borough,657,741,915,1348,1353
Alaska,2015,Hoonah-Angoon Census,Area,548,564,763,950
Alaska,2015,Juneau City,and,Borough,769,933,1262
Alaska,2015,Kenai Peninsula,Borough,664,704,882,1105
Alaska,2015,Ketchikan Gateway,Borough,653,843,1097,1616
Alaska,2015,Kodiak Island,Borough,675,795,994,1465
Alaska,2015,Lake and,Peninsula,Borough,531,623,739
Alaska,2015,Matanuska-Susitna Borough,Metro,658,761,1007,1484
Alaska,2015,Nome Census,Area,807,1003,1357,1690
Alaska,2015,North Slope,Borough,734,925,1097,1366
Alaska,2015,Northwest Arctic,Borough,1019,1064,1261,1571
Alaska,2015,Petersburg Census,Area,694,715,967,1204
Alaska,2015,Prince of,Wales-Hyder,Census,Area,664,668
Alaska,2015,Sitka City,and,Borough,807,856,1158
Alaska,2015,Skagway Municipality,857,1007,1194,1487,1724
Alaska,2015,Southeast Fairbanks,Census,Area,623,736,976
Alaska,2015,Valdez-Cordova Census,Area,771,815,1019,1435
Alaska,2015,Wade Hampton,Census,Area,624,733,869
Alaska,2015,Wrangell City,and,Borough,596,648,830
Alaska,2015,Yakutat City,and,Borough,625,679,870
Alaska,2015,Yukon-Koyukuk Census,Area,593,609,734,914
Alaska,2016,Aleutians East,Borough,662,791,916,1149
Alaska,2016,Aleutians West,Census,Area,927,1153,1503
Alaska,2016,Anchorage Municipality,Metro,882,1021,1292,1883
Alaska,2016,Bethel Census,Area,1020,1175,1369,1699
Alaska,2016,Bristol Bay,Borough,863,892,1194,1513
Alaska,2016,Denali Borough,788,861,1090,1399,1681
Alaska,2016,Dillingham Census,Area,790,926,1092,1355
Alaska,2016,Fairbanks North,Star,Borough,Metro,759,919
Alaska,2016,Haines Borough,647,773,895,1149,1380
Alaska,2016,Hoonah-Angoon Census,Area,485,621,786,1052
Alaska,2016,Juneau City,and,Borough,813,981,1313
Alaska,2016,Kenai Peninsula,Borough,788,793,996,1269
Alaska,2016,Ketchikan Gateway,Borough,736,949,1193,1657
Alaska,2016,Kodiak Island,Borough,743,828,958,1396
Alaska,2016,Lake and,Peninsula,Borough,612,731,846
Alaska,2016,Matanuska-Susitna Borough,Metro,624,756,1012,1475
Alaska,2016,Nome Census,Area,849,1086,1376,1708
Alaska,2016,North Slope,Borough,658,765,885,1131
Alaska,2016,Northwest Arctic,Borough,960,1007,1166,1447
Alaska,2016,Petersburg Census,Area,634,768,1028,1276
Alaska,2016,Prince of,Wales-Hyder,Census,Area,760,765
Alaska,2016,Sitka City,and,Borough,823,899,1203
Alaska,2016,Skagway Municipality,904,955,1250,1604,1928
Alaska,2016,Southeast Fairbanks,Census,Area,847,1012,1171
Alaska,2016,Valdez-Cordova Census,Area,845,851,1139,1413
Alaska,2016,Wade Hampton,Census,Area,639,697,883
Alaska,2016,Wrangell City,and,Borough,619,640,856
Alaska,2016,Yakutat City,and,Borough,720,786,996
Alaska,2016,Yukon-Koyukuk Census,Area,591,595,776,963
Alaska,2017,Aleutians East,Borough,774,934,1077,1347
Alaska,2017,Aleutians West,Census,Area,1073,1272,1691
Alaska,2017,Anchorage Municipality,Metro,888,1018,1293,1882
Alaska,2017,Bethel Census,Area,1052,1269,1464,1832
Alaska,2017,Bristol Bay,Borough,894,936,1244,1558
Alaska,2017,Denali Borough,1134,1237,1579,2044,2451
Alaska,2017,Dillingham Census,Area,856,1033,1192,1611
Alaska,2017,Fairbanks North,Star,Borough,Metro,804,953
Alaska,2017,Haines Borough,723,873,1007,1303,1563
Alaska,2017,Hoonah-Angoon Census,Area,546,674,861,1182
Alaska,2017,Juneau City,and,Borough,930,1103,1466
Alaska,2017,Kenai Peninsula,Borough,862,867,1113,1453
Alaska,2017,Ketchikan Gateway,Borough,836,1006,1317,1722
Alaska,2017,Kodiak Island,Borough,902,950,1096,1595
Alaska,2017,Lake and,Peninsula,Borough,654,789,910
Alaska,2017,Matanuska-Susitna Borough,Metro,660,783,1041,1515
Alaska,2017,Nome Census,Area,1004,1239,1582,1979
Alaska,2017,North Slope,Borough,948,1067,1231,1648
Alaska,2017,Northwest Arctic,Borough,1043,1094,1262,1579
Alaska,2017,Petersburg Census,Area,673,798,1060,1326
Alaska,2017,Prince of,Wales-Hyder,Census,Area,822,828
Alaska,2017,Sitka City,and,Borough,895,989,1278
Alaska,2017,Skagway Municipality,1016,1093,1414,2058,2195
Alaska,2017,Southeast Fairbanks,Census,Area,878,1060,1223
Alaska,2017,Valdez-Cordova Census,Area,851,857,1139,1425
Alaska,2017,Wade Hampton,Census,Area,697,760,971
Alaska,2017,Wrangell City,and,Borough,725,760,1010
Alaska,2017,Yakutat City,and,Borough,849,926,1182
Alaska,2017,Yukon-Koyukuk Census,Area,595,599,789,987
Alaska,2018,Aleutians East,Borough,751,915,1051,1318
Alaska,2018,Aleutians West,Census,Area,1038,1224,1628
Alaska,2018,Anchorage Municipality,Metro,923,1035,1337,1945
Alaska,2018,Bethel Census,Area,1058,1290,1481,1857
Alaska,2018,Bristol Bay,Borough,892,949,1248,1610
Alaska,2018,Denali Borough,1042,1130,1458,1840,2244
Alaska,2018,Dillingham Census,Area,1013,1046,1201,1663
Alaska,2018,Fairbanks North,Star,Borough,Metro,873,1029
Alaska,2018,Haines Borough,704,858,985,1247,1516
Alaska,2018,Hoonah-Angoon Census,Area,535,650,839,1139
Alaska,2018,Juneau City,and,Borough,910,1072,1426
Alaska,2018,Kenai Peninsula,Borough,814,819,1082,1403
Alaska,2018,Ketchikan Gateway,Borough,801,944,1255,1649
Alaska,2018,Kodiak Island,Borough,898,924,1061,1543
Alaska,2018,Lake and,Peninsula,Borough,629,752,881
Alaska,2018,Matanuska-Susitna Borough,Metro,740,835,1111,1616
Alaska,2018,Nome Census,Area,970,1285,1521,1907
Alaska,2018,North Slope,Borough,926,1028,1180,1598
Alaska,2018,Northwest Arctic,Borough,1080,1111,1276,1732
Alaska,2018,Petersburg Census,Area,692,816,1085,1360
Alaska,2018,Prince of,Wales-Hyder,Census,Area,790,795
Alaska,2018,Sitka City,and,Borough,903,1007,1261
Alaska,2018,Skagway Municipality,965,1090,1351,1965,2079
Alaska,2018,Southeast Fairbanks,Census,Area,872,1030,1220
Alaska,2018,Valdez-Cordova Census,Area,835,898,1194,1497
Alaska,2018,Wrangell City,and,Borough,718,723,962
Alaska,2018,Yakutat City,and,Borough,799,841,1118
Alaska,2018,Yukon-Koyukuk Census,Area,613,617,789,1033
Alaska,2019,Aleutians East,Borough,794,856,1118,1401
Alaska,2019,Aleutians West,Census,Area,1065,1253,1657
Alaska,2019,Anchorage Municipality,Metro,931,1005,1313,1898
Alaska,2019,Bethel Census,Area,1151,1365,1563,1958
Alaska,2019,Bristol Bay,Borough,879,952,1238,1667
Alaska,2019,Denali Borough,1061,1150,1494,1872,2274
Alaska,2019,Dillingham Census,Area,1004,1068,1312,1813
Alaska,2019,Fairbanks North,Star,Borough,Metro,871,1025
Alaska,2019,Haines Borough,719,779,1012,1316,1540
Alaska,2019,Hoonah-Angoon Census,Area,556,756,866,1166
Alaska,2019,Juneau City,and,Borough,936,1101,1457
Alaska,2019,Kenai Peninsula,Borough,854,863,1139,1511
Alaska,2019,Ketchikan Gateway,Borough,854,1005,1330,1785
Alaska,2019,Kodiak Island,Borough,954,1031,1222,1646
Alaska,2019,Lake and,Peninsula,Borough,633,720,892
Alaska,2019,Matanuska-Susitna Borough,Metro,768,815,1078,1559
Alaska,2019,Nome Census,Area,1027,1340,1599,2003
Alaska,2019,North Slope,Borough,1012,1160,1328,1664
Alaska,2019,Northwest Arctic,Borough,1129,1158,1326,1786
Alaska,2019,Petersburg Census,Area,712,864,1108,1388
Alaska,2019,Prince of,Wales-Hyder,Census,Area,804,810
Alaska,2019,Sitka City,and,Borough,916,1050,1253
Alaska,2019,Skagway Municipality,964,1139,1357,1962,2065
Alaska,2019,Southeast Fairbanks,Census,Area,876,1029,1234
Alaska,2019,Valdez-Cordova Census,Area,793,924,1222,1531
Alaska,2019,Wrangell City,and,Borough,743,748,989
Alaska,2019,Yakutat City,and,Borough,834,888,1175
Alaska,2019,Yukon-Koyukuk Census,Area,554,675,780,1128
Alaska,2020,Aleutians East,Borough,845,913,1203,1499
Alaska,2020,Aleutians West,Census,Area,1144,1333,1755
Alaska,2020,Anchorage Municipality,Metro,935,991,1305,1883
Alaska,2020,Bethel Census,Area,1234,1483,1688,2104
Alaska,2020,Bristol Bay,Borough,844,954,1202,1622
Alaska,2020,Denali Borough,1081,1184,1539,1918,2291
Alaska,2020,Dillingham Census,Area,952,1154,1393,1893
Alaska,2020,Fairbanks North,Star,Borough,Metro,863,1006
Alaska,2020,Haines Borough,742,813,1057,1457,1573
Alaska,2020,Hoonah-Angoon Census,Area,644,869,989,1332
Alaska,2020,Juneau City,and,Borough,966,1154,1482
Alaska,2020,Kenai Peninsula,Borough,896,905,1192,1604
Alaska,2020,Ketchikan Gateway,Borough,921,1074,1414,1917
Alaska,2020,Kodiak Island,Borough,1019,1087,1432,2066
Alaska,2020,Lake and,Peninsula,Borough,637,726,907
Alaska,2020,Matanuska-Susitna Borough,Metro,741,792,1043,1505
Alaska,2020,Nome Census,Area,1281,1398,1685,2100
Alaska,2020,North Slope,Borough,1111,1190,1482,1847
Alaska,2020,Northwest Arctic,Borough,1205,1213,1412,1906
Alaska,2020,Petersburg Borough,767,957,1177,1467,1860
Alaska,2020,Prince of,Wales-Hyder,Census,Area,810,847
Alaska,2020,Sitka City,and,Borough,950,1085,1293
Alaska,2020,Skagway Municipality,995,1177,1380,1797,2054
Alaska,2020,Southeast Fairbanks,Census,Area,911,1102,1297
Alaska,2020,Valdez-Cordova Census,Area,809,1090,1241,1546
Alaska,2020,Wrangell City,and,Borough,764,766,1009
Alaska,2020,Yakutat City,and,Borough,863,933,1229
Alaska,2020,Yukon-Koyukuk Census,Area,573,717,816,1177
Alaska,2021,Aleutians East,Borough,783,853,1115,1387
Alaska,2021,Aleutians West,Census,Area,1052,1210,1595
Alaska,2021,Anchorage Municipality,Metro,877,926,1220,1746
Alaska,2021,Bethel Census,Area,1146,1407,1614,2008
Alaska,2021,Bristol Bay,Borough,760,859,1082,1460
Alaska,2021,Denali Borough,1020,1111,1453,1807,2171
Alaska,2021,Dillingham Census,Area,897,1047,1277,1704
Alaska,2021,Fairbanks North,Star,Borough,Metro,858,987
Alaska,2021,Haines Borough,694,756,989,1312,1478
Alaska,2021,Hoonah-Angoon Census,Area,670,860,1015,1314
Alaska,2021,Juneau City,and,Borough,932,1124,1413
Alaska,2021,Kenai Peninsula,Borough,814,817,1077,1494
Alaska,2021,Ketchikan Gateway,Borough,893,1027,1353,1801
Alaska,2021,Kodiak Island,Borough,969,1115,1469,1860
Alaska,2021,Lake and,Peninsula,Borough,580,654,826
Alaska,2021,Matanuska-Susitna Borough,Metro,733,775,1020,1460
Alaska,2021,Nome Census,Area,1193,1259,1534,1970
Alaska,2021,North Slope,Borough,1070,1077,1419,1765
Alaska,2021,Northwest Arctic,Borough,1115,1122,1385,1871
Alaska,2021,Petersburg Borough,795,862,1132,1408,1781
Alaska,2021,Prince of,Wales-Hyder,Census,Area,735,771
Alaska,2021,Sitka City,and,Borough,862,1008,1179
Alaska,2021,Skagway Municipality,897,1063,1265,1618,1890
Alaska,2021,Southeast Fairbanks,Census,Area,929,992,1210
Alaska,2021,Valdez-Cordova Census,Area,740,983,1121,1394
Alaska,2021,Wrangell City,and,Borough,688,690,910
Alaska,2021,Yakutat City,and,Borough,817,882,1163
Alaska,2021,Yukon-Koyukuk Census,Area,553,691,788,1128
Alabama,2006,Autauga,450,532,599,794,1049
Alabama,2006,Baldwin,433,521,619,821,940
Alabama,2006,Barbour,363,364,437,541,557
Alabama,2006,Bibb,469,521,581,737,759
Alabama,2006,Blount,469,521,581,737,759
Alabama,2006,Bullock,322,365,447,536,577
Alabama,2006,Butler,322,365,447,536,577
Alabama,2006,Calhoun,346,382,474,626,736
Alabama,2006,Chambers,361,392,435,590,609
Alabama,2006,Cherokee,380,381,458,545,563
Alabama,2006,Chilton,298,413,459,577,661
Alabama,2006,Choctaw,361,381,435,552,737
Alabama,2006,Clarke,282,391,435,521,765
Alabama,2006,Clay,362,363,435,538,669
Alabama,2006,Cleburne,365,366,439,538,669
Alabama,2006,Coffee,348,397,450,616,790
Alabama,2006,Colbert,399,400,486,620,768
Alabama,2006,Conecuh,361,381,435,552,737
Alabama,2006,Coosa,353,391,435,589,662
Alabama,2006,Covington,362,363,435,593,612
Alabama,2006,Crenshaw,322,365,447,536,577
Alabama,2006,Cullman,379,390,457,615,632
Alabama,2006,Dale,336,388,435,628,762
Alabama,2006,Dallas,289,402,446,562,603
Alabama,2006,DeKalb,325,345,435,579,595
Alabama,2006,Elmore,450,532,599,794,1049
Alabama,2006,Escambia,361,366,435,542,667
Alabama,2006,Etowah,315,398,484,620,640
Alabama,2006,Fayette,285,331,435,634,766
Alabama,2006,Franklin,284,367,435,586,764
Alabama,2006,Geneva,337,396,449,574,656
Alabama,2006,Greene,391,452,586,753,776
Alabama,2006,Hale,391,452,586,753,776
Alabama,2006,Henry,284,392,435,520,536
Alabama,2006,Houston,337,396,449,574,656
Alabama,2006,Jackson,361,392,435,554,764
Alabama,2006,Jefferson,469,521,581,737,759
